CSVFile,InputData,Kernel,Data,DataID,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,16,kernel_compute_cost,points.p,0,716687769.5156,1071840727.2194002,6561.53,0.1232999999999999,0.02,6120.0,6.7259,0.1232999999999999,44.74630000000001,0.01,512.0,1.0,32.0,0.0,0.0,0.0,0.0,512.0,0.0,32.0,4.0,32.0,4.0,64.0,100.0,7.0233000000000025,4.494799999999998,111,0x200060000000,0x200060000200,512,7,15,320.0,256.0,128.0,0
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,16,kernel_compute_cost,center_table,1,716687769.5156,1071840727.2194002,6561.53,0.1232999999999999,0.02,6120.0,6.7259,0.1232999999999999,44.74630000000001,0.01,512.0,1.0,32.0,0.0,0.0,0.0,0.0,512.0,0.0,32.0,4.0,32.0,4.0,64.0,100.0,7.0233000000000025,4.494799999999998,111,0x200060000200,0x200060000240,64,0,0,0.0,0.0,0.0,4
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,16,kernel_compute_cost,coord_h,2,716687769.5156,1071840727.2194002,6561.53,0.1232999999999999,0.02,6120.0,6.7259,0.1232999999999999,44.74630000000001,0.01,512.0,1.0,32.0,0.0,0.0,0.0,0.0,512.0,0.0,32.0,4.0,32.0,4.0,64.0,100.0,7.0233000000000025,4.494799999999998,111,0x200060000400,0x2000600004c0,192,0,0,0.0,0.0,0.0,0
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,4096,kernel_compute_cost,points.p,0,737320139.3133999,1100672770.813,10240.69,9.970000000000002,9.970000000000002,9291.2,40.4819,3.8631,682.1268999999998,1.2128,512.0,8.0,32.0,0.0,0.0,0.0,0.0,4096.0,0.0299999999999999,32.0,4.0,32.0,4.0,64.0,100.0,24.43390000000001,15.638000000000003,111,0x200060000000,0x200060020000,131072,68,5728,4288.0,4032.0,256.0,0
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,4096,kernel_compute_cost,center_table,1,737320139.3133999,1100672770.813,10240.69,9.970000000000002,9.970000000000002,9291.2,40.4819,3.8631,682.1268999999998,1.2128,512.0,8.0,32.0,0.0,0.0,0.0,0.0,4096.0,0.0299999999999999,32.0,4.0,32.0,4.0,64.0,100.0,24.43390000000001,15.638000000000003,111,0x200060020000,0x200060024000,16384,22,5117,1472.0,1216.0,256.0,0
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,4096,kernel_compute_cost,coord_h,2,737320139.3133999,1100672770.813,10240.69,9.970000000000002,9.970000000000002,9291.2,40.4819,3.8631,682.1268999999998,1.2128,512.0,8.0,32.0,0.0,0.0,0.0,0.0,4096.0,0.0299999999999999,32.0,4.0,32.0,4.0,64.0,100.0,24.43390000000001,15.638000000000003,111,0x200060024000,0x2000600a4000,524288,2,215,960.0,320.0,0.0,6
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,8192,kernel_compute_cost,centers.p,0,794292280.8160996,1184731565.5908003,14195.68,24.954899999999995,24.954899999999995,11974.72,45.5612,9.3222,2109.9387,3.374200000000002,512.0,16.0,32.0,0.0,0.0,0.0,0.0,8192.0,0.0499999999999999,32.0,4.0,32.0,4.0,64.0,100.0,24.56310000000001,15.72069999999999,111,0x200060000000,0x200060007d00,32000,356,58968,22592.0,22592.0,192.0,0
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,8192,kernel_compute_cost,center_table,1,794292280.8160996,1184731565.5908003,14195.68,24.954899999999995,24.954899999999995,11974.72,45.5612,9.3222,2109.9387,3.374200000000002,512.0,16.0,32.0,0.0,0.0,0.0,0.0,8192.0,0.0499999999999999,32.0,4.0,32.0,4.0,64.0,100.0,24.56310000000001,15.72069999999999,111,0x200060007e00,0x20006000fe00,32768,0,0,0.0,0.0,0.0,4
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,8192,kernel_compute_cost,coord_h,2,794292280.8160996,1184731565.5908003,14195.68,24.954899999999995,24.954899999999995,11974.72,45.5612,9.3222,2109.9387,3.374200000000002,512.0,16.0,32.0,0.0,0.0,0.0,0.0,8192.0,0.0499999999999999,32.0,4.0,32.0,4.0,64.0,100.0,24.56310000000001,15.72069999999999,111,0x200060200000,0x200060400000,2097152,6,765,2048.0,0.0,0.0,0
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,16384,kernel_compute_cost,points.p,0,822521553.2177997,1225434751.7115002,24177.51,54.5301,54.5301,19704.32,45.2336,19.958800000000007,7921.748199999997,7.781999999999997,512.0,32.0,32.0,0.0,0.0,0.0,0.0,16384.0,0.0999999999999998,32.0,4.0,32.0,4.0,64.0,100.0,24.7028,15.809599999999987,111,0x200060000000,0x200060080000,524288,895,194051,60800.0,60800.0,192.0,0
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,16384,kernel_compute_cost,center_table,1,822521553.2177997,1225434751.7115002,24177.51,54.5301,54.5301,19704.32,45.2336,19.958800000000007,7921.748199999997,7.781999999999997,512.0,32.0,32.0,0.0,0.0,0.0,0.0,16384.0,0.0999999999999998,32.0,4.0,32.0,4.0,64.0,100.0,24.7028,15.809599999999987,111,0x200060080000,0x200060090000,65536,808,193535,52032.0,51584.0,192.0,4
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,16384,kernel_compute_cost,coord_h,2,822521553.2177997,1225434751.7115002,24177.51,54.5301,54.5301,19704.32,45.2336,19.958800000000007,7921.748199999997,7.781999999999997,512.0,32.0,32.0,0.0,0.0,0.0,0.0,16384.0,0.0999999999999998,32.0,4.0,32.0,4.0,64.0,100.0,24.7028,15.809599999999987,111,0x200060200000,0x200060a00000,8388608,24,2241,8192.0,0.0,0.0,0
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,65536,kernel_compute_cost,points.p,0,865302176.9936997,1292633129.4043007,110923.12,91.79039999999996,91.79039999999996,85769.92,27.0525,32.933399999999985,101628.44019999998,13.4289,512.0,128.0,32.0,0.0,0.0,0.0,0.0,65536.0,0.3999999999999993,32.0,4.0,32.0,4.0,64.0,100.0,39.941299999999984,25.56249999999999,111,0x200060000000,0x200060200000,2097152,695,45124,151104.0,77440.0,0.0,3
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,65536,kernel_compute_cost,center_table,1,865302176.9936997,1292633129.4043007,110923.12,91.79039999999996,91.79039999999996,85769.92,27.0525,32.933399999999985,101628.44019999998,13.4289,512.0,128.0,32.0,0.0,0.0,0.0,0.0,65536.0,0.3999999999999993,32.0,4.0,32.0,4.0,64.0,100.0,39.941299999999984,25.56249999999999,111,0x200060200000,0x200060240000,262144,2668,87824,226880.0,226880.0,0.0,4
rodinia_3.1_cuda_streamcluster_labelled-lassen.csv,65536,kernel_compute_cost,coord_h,2,865302176.9936997,1292633129.4043007,110923.12,91.79039999999996,91.79039999999996,85769.92,27.0525,32.933399999999985,101628.44019999998,13.4289,512.0,128.0,32.0,0.0,0.0,0.0,0.0,65536.0,0.3999999999999993,32.0,4.0,32.0,4.0,64.0,100.0,39.941299999999984,25.56249999999999,111,0x200060400000,0x200064400000,67108864,192,886,65536.0,0.0,0.0,0
